MSOA, spearmanr, spearmanr_p, wilcoxon, wilcoxon_p, rel_ttest, rel_ttest_p
E02000001,0.9892,0.0000,27028.0000,0.0000,3.2862,0.0011
E02000002,0.9999,0.0000,478.0000,0.0000,-1.0777,0.2817
E02000003,0.9987,0.0000,3712.0000,0.5785,0.0836,0.9334
E02000004,0.9982,0.0000,12640.0000,0.1666,0.3722,0.7099
E02000005,0.9994,0.0000,2700.0000,0.0764,-1.5198,0.1292
E02000007,0.9980,0.0000,7845.0000,0.0071,0.7290,0.4663
E02000008,0.9984,0.0000,4064.0000,0.0000,-2.6206,0.0091
E02000009,0.9996,0.0000,1087.0000,0.9059,-0.5463,0.5851
E02000010,0.9989,0.0000,1590.0000,0.0000,0.3133,0.7542
E02000011,0.9985,0.0000,3607.0000,0.0057,-1.1981,0.2315
E02000012,0.9983,0.0000,6712.0000,0.0000,1.9162,0.0560
E02000013,0.9998,0.0000,1200.0000,0.0899,-1.3948,0.1637
E02000014,0.9982,0.0000,5590.0000,0.0307,1.6276,0.1043
E02000015,0.9991,0.0000,4286.0000,0.0035,2.0714,0.0389
E02000016,0.9973,0.0000,12080.0000,0.0000,-3.5113,0.0005
E02000017,0.9979,0.0000,6765.0000,0.0000,4.0254,0.0001
E02000018,0.9993,0.0000,3220.0000,0.0008,-0.9855,0.3249
E02000019,0.9982,0.0000,7622.0000,0.0006,0.2386,0.8115
E02000020,0.9979,0.0000,17018.0000,0.7039,1.2678,0.2055
E02000021,0.9992,0.0000,318.0000,0.0000,-5.4391,0.0000
E02000022,0.9989,0.0000,3560.0000,0.0000,-2.1159,0.0349
E02000023,0.9994,0.0000,1581.0000,0.0002,-0.7830,0.4340
E02000024,0.9966,0.0000,24409.0000,0.0184,1.3310,0.1838
E02000025,0.9974,0.0000,11058.0000,0.0000,-2.1883,0.0291
E02000026,0.9992,0.0000,2042.0000,0.0000,-3.0912,0.0021
E02000027,0.9988,0.0000,4504.0000,0.0000,-2.5523,0.0110
E02000028,0.9978,0.0000,8759.0000,0.0025,1.4946,0.1357
E02000029,0.9981,0.0000,17093.0000,0.6716,-0.2089,0.8346
E02000030,0.9978,0.0000,18162.0000,0.0011,0.4514,0.6519
E02000031,0.9979,0.0000,11254.0000,0.0001,-1.2364,0.2169
E02000032,0.9995,0.0000,811.0000,0.0000,3.2838,0.0011
E02000033,0.9988,0.0000,2972.0000,0.0000,-2.5851,0.0100
E02000034,0.9981,0.0000,5682.0000,0.0579,-0.7552,0.4505
E02000035,0.9983,0.0000,9256.0000,0.3326,0.7037,0.4820
E02000036,0.9987,0.0000,3454.0000,0.0000,-1.0920,0.2754
E02000037,0.9986,0.0000,9381.0000,0.6438,1.0458,0.2962
E02000038,0.9982,0.0000,13824.0000,0.0269,2.0680,0.0392
E02000039,0.9975,0.0000,285.0000,0.0000,-4.7108,0.0000
E02000040,0.9964,0.0000,689.0000,0.0000,-3.6797,0.0003
E02000041,0.9984,0.0000,4958.0000,0.0000,-2.1393,0.0329
E02000042,0.9972,0.0000,14033.0000,0.0000,1.0458,0.2962
E02000043,0.9992,0.0000,3023.0000,0.0000,-1.3628,0.1736
E02000044,0.9996,0.0000,284.0000,0.0000,-1.7813,0.0755
E02000045,0.9985,0.0000,14531.0000,0.0281,1.1395,0.2551
E02000046,0.9979,0.0000,9595.0000,0.0000,-2.0630,0.0397
E02000047,0.9985,0.0000,6338.0000,0.0000,-2.1198,0.0345
E02000048,0.9974,0.0000,7250.0000,0.0000,-0.9878,0.3238
E02000049,0.9991,0.0000,311.0000,0.0000,-2.9140,0.0037
E02000050,0.9979,0.0000,9064.0000,0.0000,-3.3340,0.0009
E02000051,0.9972,0.0000,10498.0000,0.0000,3.9790,0.0001
