MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000001,97,0.6034276770729069,110,0.3696005066702434,103,0.2803763917885281,101,0.19601842971451156,106,0.17414430029659195
E02000002,314,0.5128039996739159,103,0.5057617868996583,178,0.45963474588100106,0,0.3339878429933051,233,0.32353540291795563
E02000003,188,0.48970416125528166,124,0.3524807549190187,201,0.3278533637381706,136,0.2967025351702285,158,0.23698158869002453
E02000004,89,0.38197862649126996,388,0.366141532448433,442,0.34636001880902134,75,0.33248578386599004,28,0.26742700120834584
E02000005,171,0.6426853739858843,203,0.5412879396823552,157,0.2949238424488682,122,0.1391280567454594,178,0.13848353921067863
E02000007,159,0.5347650302618384,19,0.49361132540797076,156,0.4816428104696813,124,0.3774684543356765,384,0.15197534081465713
E02000008,122,0.6185117739685572,107,0.47180762778002017,280,0.28985838118082563,105,0.2544134601834099,188,0.1756573856319438
E02000009,157,0.5829974269134229,263,0.32393393481441946,396,0.29748980756429166,108,0.2854777108487422,6,0.258677337571045
E02000010,203,0.4049382697642067,105,0.4021557031772513,233,0.3579539954659509,229,0.3482025538765092,314,0.34729800588074616
E02000011,38,0.6428779227141795,10,0.46646697275650656,220,0.2868626926110019,157,0.22316221700369823,136,0.2105444699698989
E02000012,102,0.4982909926795578,105,0.3800921823855913,368,0.3013269880970154,211,0.22535734272198932,316,0.22359444715145854
E02000013,124,0.5192022100239783,102,0.3925176310945703,103,0.3899282031045171,390,0.2894014044037443,384,0.23695137207073452
E02000014,4,0.6833339226227717,105,0.3064807518106125,14,0.23983411411186825,396,0.21744286234143853,256,0.19695688295715685
E02000015,96,0.5906451736567915,121,0.39336449694251946,257,0.3617805378640664,122,0.2188081597272094,331,0.20350332336712057
E02000016,459,0.47583946820497386,124,0.38499501232314814,9,0.282350840431128,170,0.27096378554790096,23,0.24823689572300017
E02000017,102,0.6365812342470891,368,0.6040383430745371,105,0.2663531555713916,116,0.21879897089157369,364,0.12746377392327238
E02000018,102,0.7063078876083841,100,0.38673603232322806,139,0.26833501168265117,364,0.25335846351467023,162,0.177976350285282
E02000019,236,0.7283956447949353,136,0.378292257170306,21,0.36377938253834974,246,0.26326303183678335,126,0.1965931359848583
E02000020,3,0.8713414706284727,83,0.33482780823578756,96,0.19823206539466903,104,0.18469688665477732,100,0.11534424174098304
E02000021,246,0.8017315083641993,412,0.29672957966858665,436,0.21431404593878658,178,0.19954608179771666,125,0.19217959204630408
E02000022,170,0.4700797816304342,289,0.4535522107512557,339,0.37244062774229014,100,0.24871890270937716,56,0.2264813206865959
E02000023,175,0.5586607249158647,136,0.4906198156363475,122,0.3451619533888876,289,0.33387538195508093,121,0.18126552380103395
E02000024,364,0.3736708134528701,368,0.30967700058285536,96,0.3093954199564647,103,0.2951668420994103,328,0.2079940102603355
E02000025,3,0.9452771225719782,116,0.1758823026971076,29,0.12014751997222861,243,0.11683840658441842,299,0.10673252800373019
E02000026,171,0.6510812108823237,150,0.30737679389460554,113,0.297535177679724,165,0.22543341475338574,149,0.22104773099030986
E02000027,10,0.6804850132637198,20,0.28982265787407885,196,0.2859705176852897,296,0.24333151910809553,18,0.2334501321449363
E02000028,384,0.700202359243132,3,0.3814151851451047,124,0.3229984989944174,119,0.17618641729512255,357,0.16400655816139198
E02000029,165,0.47982989214150823,384,0.4650527982161152,9,0.3580757590443978,102,0.31889082176342476,105,0.2972342897771734
E02000030,150,0.5038150342035894,149,0.26920065197359744,83,0.2688234756057229,166,0.24333519379148086,0,0.2349757227288652
E02000031,144,0.421765972108494,212,0.30418978565479465,102,0.3014029413813327,124,0.23293774467736264,1,0.22796999386046976
E02000032,375,0.8291098896825325,312,0.3278364467652333,389,0.1896034047082534,156,0.1452012605682676,157,0.1388146159057541
E02000033,174,0.5742854367702122,96,0.4245560703616252,384,0.3938159442449173,331,0.1986477102114681,368,0.1887597065503196
E02000034,119,0.4719365950513743,157,0.34612184436809174,96,0.2871152337975239,317,0.2684027934696152,247,0.19397162670190218
E02000035,102,0.7116662054028742,124,0.3761605515097274,151,0.3055316884601953,157,0.2132931492379082,119,0.14033454352075447
E02000036,354,0.5382353195782198,378,0.3480806407993671,8,0.33048479973493344,165,0.3151946514451369,158,0.2849037274380702
E02000037,165,0.4494639183949006,17,0.3420983271135783,102,0.271003281004676,378,0.26660710198503873,153,0.2607551149435983
E02000038,102,0.6086401257521643,139,0.34244602739873103,105,0.25505563302009504,358,0.23150716856115175,245,0.20437490983544435
E02000039,354,0.8176986599441841,165,0.5029249245385372,124,0.11260585775003254,125,0.0812317143787758,53,0.07721588853535226
E02000040,354,0.8073845607948709,165,0.46828596936969696,174,0.2949425666763405,151,0.06331331901199695,97,0.05815760226899768
E02000041,124,0.6682930454368976,158,0.5723194611132411,49,0.2274957380807016,316,0.18459239572390243,151,0.17887997730365687
E02000042,285,0.2584284759267484,19,0.255832767211143,1,0.25470126858240144,84,0.2514942353996728,108,0.23854788287052248
E02000043,468,0.5144487608650719,429,0.4203496447618953,375,0.39957907303000867,151,0.3183921466274611,252,0.21274749157350922
E02000044,354,0.7364284908512778,165,0.4487299808208354,405,0.26629859906813397,124,0.20068650725456677,125,0.17713027645463256
