MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000001,97,0.6559977783936344,103,0.3320789420740147,110,0.23639398601169548,101,0.22199061420898092,106,0.18300404391591893
E02000002,314,0.5451852889346255,103,0.5212126087406712,178,0.4241868769597155,0,0.3263093794952295,233,0.25820070771460946
E02000003,188,0.4635092216442279,201,0.4111842808041073,136,0.2967946380790072,124,0.2957139160290702,165,0.22843571155783737
E02000004,89,0.3887498355014757,75,0.3591229162024598,388,0.3232906078003771,442,0.31878042625469855,28,0.31081091559833113
E02000005,171,0.6238316286432816,203,0.5625916306007166,157,0.27629961962696187,206,0.1417799156007458,178,0.13287141409519623
E02000007,19,0.5533561379171731,159,0.5364166643074637,156,0.44639169784237065,124,0.35158985254119124,384,0.13059879383328166
E02000008,122,0.5516855403546959,107,0.4875867960788542,105,0.2874914663709528,188,0.2371460979561995,280,0.2371460979561995
E02000009,157,0.4881699300109949,263,0.3883057170845096,6,0.3214335991347685,108,0.27938118541564383,396,0.27667797030138935
E02000010,229,0.4430259980289645,203,0.39712173137951995,105,0.3655654908641347,314,0.3300077287732249,139,0.32877635665093674
E02000011,38,0.5908258648912429,10,0.5005309996944272,220,0.31361675919304155,196,0.22544671160323745,157,0.21395483151099948
E02000012,102,0.49468090404028503,105,0.46536241628851727,368,0.29696992014045925,116,0.22033252139453427,316,0.21284017489164742
E02000013,124,0.4979209281296638,102,0.39607346555768713,103,0.3847570808274675,390,0.3186938336945155,384,0.21260304706186847
E02000014,4,0.7350470612924122,105,0.2951225243174431,14,0.21442705888158542,1,0.19450281496616662,396,0.18049790682644304
E02000015,96,0.634862191028848,257,0.39866867283900065,121,0.3455512396015598,122,0.20437409163117845,331,0.1700970447580526
E02000016,459,0.4072331089376861,124,0.38412157174745937,9,0.30008962421818414,23,0.24367227010205808,15,0.23223398684619861
E02000017,102,0.6853887276679299,368,0.5748126796041705,105,0.2787247492516248,116,0.188594886154274,364,0.10666432085774512
E02000018,102,0.7001703060888249,100,0.33221972540432493,364,0.3084536206462663,139,0.30152207860927155,160,0.1628912378693766
E02000019,236,0.7545876091437622,21,0.37681647061990203,136,0.36888784285068327,126,0.1818314012918382,178,0.17783817706515923
E02000020,3,0.8871640448064518,83,0.3045535415840894,96,0.21633269277434455,104,0.16857999311757693,136,0.11220059144580452
E02000021,246,0.6351861600644162,178,0.3121693290965435,412,0.2668544264857549,125,0.24874423051473643,436,0.23664449141189586
E02000022,289,0.5241343150953424,170,0.3335400186970361,339,0.28320725425008886,56,0.26432677063341625,100,0.2283715331186524
E02000023,136,0.5649600097046433,175,0.46412274131237546,122,0.38788299173751634,289,0.3035606022293606,396,0.19394149586875817
E02000024,364,0.38079728678785396,103,0.32009047295210913,368,0.30353406917872416,96,0.30077466854982665,129,0.20833474748176067
E02000025,3,0.9342809301553019,116,0.19230172628101555,243,0.13486750044935933,299,0.13462317526738585,166,0.12092244535002607
E02000026,171,0.5731237369430587,113,0.34306660250092136,150,0.2813516526811379,149,0.26096740960389814,165,0.22611207892106178
E02000027,10,0.5863173107144095,20,0.332400365129429,196,0.3048514847278274,18,0.2854971259016716,319,0.25305427068557257
E02000028,384,0.7368888347694973,124,0.32503863670654537,3,0.30484990150738106,119,0.17766086975264592,357,0.16554762863314734
E02000029,9,0.46078329802267903,384,0.45432163120095026,165,0.3975314273008315,102,0.31343824075642485,105,0.2839510195005939
E02000030,150,0.425965070413421,83,0.28879858267755715,0,0.2823062623524241,149,0.26115370807952426,243,0.2562600515662784
E02000031,144,0.3860882863572283,212,0.3316008459970034,102,0.32073789223540855,124,0.23558623942954787,1,0.20913115511016533
E02000032,375,0.8609261409925973,312,0.2829109357807262,389,0.16709175612669655,353,0.1369206737938023,156,0.1291389211488896
E02000033,174,0.47166436983097765,96,0.45858345017490953,384,0.42548736359911926,331,0.2163835287589592,368,0.18135526973077215
E02000034,119,0.476880408036547,157,0.36242911010777573,96,0.26705302850046636,317,0.2531802496805733,102,0.20028977137534976
E02000035,102,0.7395216327302373,124,0.3714967826391333,151,0.21873175052584484,157,0.21873175052584484,252,0.15227106580365055
E02000036,205,0.39033919475886614,378,0.386528310971349,8,0.38456757383055784,158,0.3065569362876216,354,0.29989265506397766
E02000037,165,0.4687230827910029,17,0.32844829159077576,102,0.29050883059951343,378,0.2875444547770694,153,0.2460431932628532
E02000038,102,0.6245882303162842,139,0.33785558524251263,105,0.25439155885222514,358,0.2316102252236677,245,0.18697825738112556
