totalranks,termindex,term
928,102,park
675,136,road
497,124,station
375,157,squar
339,105,garden
329,165,hill
288,103,street
250,174,cemeteri
243,3,wed
236,363,green
221,100,river
215,158,bu
211,96,church
193,122,hous
187,378,day
164,0,parti
143,125,railway
138,53,train
138,1,music
133,84,art
128,181,wood
122,159,town
121,384,new
120,20,walk
119,106,bridg
118,151,underground
117,9,festiv
114,388,design
113,107,museum
109,156,fire
99,4,birthday
97,116,flower
97,119,snow
97,97,citi
96,163,hall
96,126,car
92,134,canal
91,10,footbal
91,252,line
88,259,forest
86,316,garag
86,193,cross
83,108,pub
82,178,lane
79,161,dog
79,121,tower
78,201,palac
72,19,show
70,289,estat
69,14,club
69,149,school
68,208,cup
67,18,sport
66,2,gig
66,387,royal
63,16,cycl
63,142,market
62,21,rugbi
62,374,old
62,192,field
62,382,centr
62,113,tree
61,282,farm
61,375,great
60,6,christma
60,61,run
56,60,game
55,37,war
55,129,light
54,257,court
54,34,race
54,44,carniv
54,47,marathon
53,370,home
53,7,concert
53,15,work
52,139,bird
51,364,natur
50,141,cat
49,188,polic
48,396,view
48,170,abbey
48,296,hospit
47,164,theatr
47,150,colleg
47,196,stadium
47,75,film
47,101,build
47,247,grave
46,29,danc
45,30,cricket
44,246,dock
44,40,perform
42,135,firework
41,424,air
41,67,final
38,131,univers
38,162,wildlif
38,160,plant
37,255,aircraft
37,24,soccer
36,447,countri
36,359,red
33,143,boat
32,348,wharf
32,236,way
32,434,open
31,64,celebr
30,180,hotel
30,459,folk
30,49,transport
29,220,rail
29,367,white
29,32,event
28,171,lake
28,327,fair
28,266,chapel
28,314,rose
27,292,kid
27,175,villag
27,394,dead
27,317,engin
26,214,pond
26,167,galleri
26,245,librari
26,98,sky
25,300,youth
25,109,castl
25,209,model
24,173,eye
24,418,fashion
24,409,intern
23,310,pool
23,281,lock
23,446,vintag
23,368,spring
23,76,team
23,130,food
23,357,night
23,243,dress
22,325,eleph
22,405,raw
22,233,gate
22,365,summer
22,309,plane
22,99,water
22,445,beauti
21,140,glass
21,191,studio
21,57,shop
20,17,trip
20,334,arena
20,318,women
20,393,capit
20,454,power
20,354,mill
20,13,rock
20,137,anim
20,184,graveyard
20,361,urban
19,244,bank
19,256,motor
19,439,social
19,353,box
19,198,duck
19,211,swan
19,56,band
18,278,templ
18,22,protest
18,212,steam
18,111,graffiti
18,379,histori
18,262,paint
17,205,cafe
17,391,victorian
16,406,jazz
16,448,love
16,322,cinema
16,166,girl
16,70,play
16,104,peopl
16,112,friend
15,285,flat
15,144,bar
15,80,match
15,27,bike
14,203,fish
14,128,zoo
14,299,cake
14,204,offic
14,176,memori
14,312,factori
14,321,robin
14,25,xma
14,227,ship
13,341,pirat
13,295,motorcycl
13,360,sunset
13,342,churchyard
13,390,derelict
13,8,holiday
13,435,outdoor
13,442,cultur
13,26,beer
12,319,tabl
12,215,crane
12,35,exhibit
12,444,cute
12,263,bedroom
12,86,climb
