MSOA, spearmanr, spearmanr_p, wilcoxon, wilcoxon_p, rel_ttest, rel_ttest_p
E02000001,0.9925,0.0000,30749.0000,0.0000,0.7669,0.4435
E02000002,0.9998,0.0000,509.0000,0.0000,-2.9208,0.0037
E02000003,0.9983,0.0000,2552.0000,0.0000,4.3278,0.0000
E02000004,0.9968,0.0000,5590.0000,0.0000,-3.1903,0.0015
E02000005,0.9976,0.0000,7498.0000,0.0018,-2.8924,0.0040
E02000007,0.9994,0.0000,1269.0000,0.0000,3.6622,0.0003
E02000008,0.9998,0.0000,780.0000,0.7118,-0.2382,0.8118
E02000009,0.9970,0.0000,13320.0000,0.0109,-2.3762,0.0179
E02000010,0.9995,0.0000,986.0000,0.5719,-0.6656,0.5060
E02000011,0.9992,0.0000,1669.0000,0.0109,-1.2812,0.2008
E02000012,0.9988,0.0000,1915.0000,0.0000,-1.6977,0.0902
E02000013,0.9994,0.0000,1989.0000,0.6806,-0.0644,0.9487
E02000014,0.9948,0.0000,12407.0000,0.0565,-1.3464,0.1788
E02000015,0.9997,0.0000,75.0000,0.0000,-5.7195,0.0000
E02000016,0.9958,0.0000,11387.0000,0.0000,-3.6981,0.0002
E02000017,0.9990,0.0000,2322.0000,0.9825,0.1726,0.8630
E02000018,0.9981,0.0000,4811.0000,0.3419,-0.9729,0.3311
E02000019,0.9990,0.0000,4696.0000,0.5241,0.1827,0.8551
E02000020,0.9993,0.0000,5321.0000,0.0566,-1.9890,0.0473
E02000021,0.9991,0.0000,1171.0000,0.0003,2.6311,0.0088
E02000022,0.9966,0.0000,14784.0000,0.0048,1.5602,0.1194
E02000023,0.9986,0.0000,3596.0000,0.2601,0.2190,0.8267
E02000024,0.9954,0.0000,21485.0000,0.5298,-0.1232,0.9020
E02000025,0.9989,0.0000,1903.0000,0.0022,1.9126,0.0564
E02000026,0.9984,0.0000,4936.0000,0.0357,0.7266,0.4679
E02000027,0.9990,0.0000,1651.0000,0.0000,4.4556,0.0000
E02000028,0.9988,0.0000,4478.0000,0.5934,0.7047,0.4814
E02000029,0.9973,0.0000,10941.0000,0.1990,0.5014,0.6163
E02000030,0.9965,0.0000,26905.0000,0.2515,1.3582,0.1750
E02000031,0.9982,0.0000,8214.0000,0.0000,3.2292,0.0013
E02000032,0.9996,0.0000,358.0000,0.0000,3.3574,0.0009
E02000033,0.9955,0.0000,24067.0000,0.6816,-0.4381,0.6616
E02000034,0.9983,0.0000,4158.0000,0.1060,1.4304,0.1533
E02000035,0.9983,0.0000,6938.0000,0.0000,3.4212,0.0007
E02000036,0.9988,0.0000,3878.0000,0.1179,-0.0912,0.9273
E02000037,0.9978,0.0000,5303.0000,0.2846,-0.3766,0.7066
E02000038,0.9980,0.0000,5701.0000,0.0000,-3.3061,0.0010
E02000039,0.9973,0.0000,205.0000,0.0000,-5.1327,0.0000
E02000040,0.9967,0.0000,437.0000,0.0000,-3.8655,0.0001
E02000041,0.9968,0.0000,8496.0000,0.0934,0.8686,0.3855
E02000042,0.9975,0.0000,18370.0000,0.7218,-0.3463,0.7293
E02000043,0.9969,0.0000,22404.0000,0.0000,1.2926,0.1968
E02000044,0.9997,0.0000,559.0000,0.0055,-0.7430,0.4579
E02000045,0.9989,0.0000,4521.0000,0.0000,3.5186,0.0005
E02000046,0.9983,0.0000,7395.0000,0.0000,3.9267,0.0001
E02000047,0.9976,0.0000,6415.0000,0.0003,-2.6382,0.0086
E02000048,0.9979,0.0000,9100.0000,0.0000,2.7387,0.0064
E02000049,0.9994,0.0000,1541.0000,0.1144,0.9457,0.3448
E02000050,0.9978,0.0000,7367.0000,0.0000,4.6323,0.0000
E02000051,0.9984,0.0000,7577.0000,0.1597,0.8096,0.4186
E02000052,0.9957,0.0000,10721.0000,0.0000,2.4327,0.0154
E02000053,0.9966,0.0000,19218.0000,0.1104,-0.7342,0.4632
E02000054,0.9975,0.0000,2818.0000,0.0000,-5.4415,0.0000
E02000055,0.9975,0.0000,10633.0000,0.0007,0.8687,0.3855
E02000056,0.9979,0.0000,6914.0000,0.0000,4.5960,0.0000
E02000057,0.9984,0.0000,4267.0000,0.2613,0.5697,0.5691
