MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000001,110,0.451966236858482,97,0.3551141191118212,448,0.23362420510031442,378,0.23345686566607907,106,0.21244769911899142
E02000002,97,0.6956806642583462,3,0.47705153590193533,448,0.2472481807984475,233,0.21935190866379292,389,0.1606170477017527
E02000003,62,0.8133569964954755,53,0.3052081730191885,378,0.16552143409005549,84,0.12348187213433452,376,0.11927974359802607
E02000004,239,0.5479081697575122,448,0.30961209136126117,384,0.27201546016279843,149,0.2599057674944086,378,0.23666815591443258
E02000005,15,0.5214485534001251,104,0.4834041451795873,378,0.29811635734736674,448,0.1458879340194261,389,0.14441376538358822
E02000007,382,0.6846915263097656,9,0.40867877092000393,375,0.25197382172327165,448,0.15165421063025075,378,0.1513462776212856
E02000008,448,0.3263158411982687,40,0.26152876777372486,2,0.24791446486036267,122,0.23146959252939076,370,0.22865824953318276
E02000009,378,0.412051357615924,448,0.3883962694194818,415,0.2385233825739366,429,0.23695492770686374,3,0.22850388526880885
E02000010,392,0.26486689854101314,448,0.2576962401937529,378,0.25717298944910105,104,0.21735239220285088,96,0.21070526984249419
E02000011,100,0.6429072927102991,234,0.6280085334855187,10,0.2265702846185388,322,0.14368102202361704,14,0.12098649757097531
E02000012,102,0.7369260400599387,170,0.379279573216398,448,0.23566413069035802,429,0.20726044876685776,378,0.17104408437693258
E02000013,448,0.49938965355075066,375,0.39683076993674105,53,0.2609559489982855,378,0.26002207602260174,389,0.24824636968776986
E02000014,448,0.3588257393387364,378,0.2945637811595458,55,0.2750352162268828,415,0.22375852025724782,15,0.22307718902952756
E02000015,96,0.9565460005851784,102,0.13254841899496606,375,0.08668056133149468,426,0.081976852088359,448,0.07588362381636919
E02000016,49,0.503539335142368,448,0.4147146222111408,170,0.24595953643348822,378,0.23085353098358766,384,0.22038155710473536
E02000017,234,0.31959246401492525,100,0.28627761486984443,99,0.26388755341431547,448,0.22957774689628613,375,0.19980397771645184
E02000018,122,0.4463436595636713,378,0.3447614562080671,384,0.3106512382867761,448,0.28377311013683776,102,0.2785068126013327
