MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000001,97,0.36399227619802876,448,0.3274751245146628,378,0.3225616218662013,384,0.25577729386831244,110,0.230416589026713
E02000002,97,0.6999053034966773,3,0.4282427735434259,448,0.2635340144882621,233,0.22838194971460996,389,0.1647087590551638
E02000003,62,0.8446114691207106,53,0.29736147067986674,378,0.14564988662412112,84,0.11510766606962583,376,0.1113928758620177
E02000004,239,0.45101673976663426,448,0.323611246238147,149,0.28608214966889645,384,0.28229917225029844,378,0.24787244392709132
E02000005,15,0.5007432453012453,104,0.4466088404038133,378,0.2909724263236966,55,0.15830413602848153,389,0.15619815053603778
E02000007,382,0.6977146464329803,9,0.4592150320256698,375,0.23057711435666128,57,0.13289802789199626,329,0.13096682562416118
E02000008,448,0.3095593199489398,40,0.23393013802774792,122,0.23393013802774792,357,0.23393013802774792,2,0.2275266618958917
E02000009,378,0.39912958967591294,448,0.3754524106273418,3,0.27347209317764776,415,0.22662442803632343,429,0.21309461143713995
E02000010,96,0.24150683609426946,118,0.24150683609426946,392,0.23772971311172927,448,0.23772971311172927,119,0.22691722954766758
E02000011,100,0.6605678463607736,234,0.5638895437814571,10,0.308264994968361,322,0.16111129822327344,387,0.13211356927215473
E02000012,102,0.757066390281086,170,0.26650780707778315,448,0.2602415716591233,429,0.21292492226655546,378,0.16932319737625162
E02000013,448,0.47735945495080134,375,0.4175877135554478,389,0.28567802208777027,53,0.25519249161721813,378,0.2490571069308529
E02000014,448,0.3168039439224393,55,0.3108000785845829,129,0.2647538135848444,378,0.26059679258136137,445,0.19804178370369147
E02000015,96,0.9341786083142233,102,0.16411245821736356,374,0.10038558070092536,375,0.10023217527689633,378,0.08909526691279675
E02000016,448,0.5247289547212379,29,0.3066044972955739,384,0.23829145561763776,378,0.2285127244701466,170,0.1900512566696713
E02000017,119,0.2624968010245585,234,0.2624968010245585,448,0.25880070806984307,99,0.22182917834557975,375,0.22182917834557975
E02000018,122,0.4629726084399886,378,0.3303481655868541,384,0.2949537192739769,102,0.28595366991881654,448,0.27135742173205873
E02000019,61,0.45509510069169506,21,0.32537620926544386,459,0.31374621767164945,375,0.2945274010371305,422,0.25121454794343484
E02000020,163,0.45134134147003996,122,0.3323809272172861,142,0.30262370447622244,256,0.2379958263162357,378,0.19299537709390807
E02000021,175,0.7463562792606621,122,0.2646497626558965,448,0.19247255465883384,57,0.15490216129573486,149,0.15490216129573486
E02000022,448,0.5598199477595893,29,0.33578667309551474,384,0.24577461121152705,378,0.23485129515768138,445,0.2292389787478995
E02000023,448,0.4315660611053353,445,0.29692532509147407,378,0.296701667009918,370,0.2562423487812928,393,0.2325954496183845
E02000024,378,0.32761292212394055,384,0.31842751309242817,448,0.27250046793486643,374,0.2541296498718417,191,0.2538921806506803
E02000025,149,0.38917969414171616,261,0.35329140117127805,157,0.24578868718646102,384,0.2060003084205522,53,0.19458984707085808
E02000026,329,0.40855244990193085,378,0.3398259505981972,375,0.22655063373213147,236,0.21239121912387326,165,0.18923664510745936
E02000027,296,0.7883493964302954,378,0.2384841199164076,105,0.2014035113787166,122,0.1930585732656633,319,0.19153206250308244
E02000028,357,0.5093146328525242,384,0.4500920011254865,378,0.2724241059443734,76,0.25973699454189564,322,0.2586207440448051
E02000029,53,0.7856885823517009,107,0.33196891607103207,416,0.2520711231787725,130,0.21370570289988786,448,0.14887726600082657
E02000030,448,0.3799498703024143,375,0.3042352222349042,378,0.2739493630079002,141,0.26893794815252514,60,0.2685571817258548
E02000031,357,0.3068516390816218,448,0.2943270823844127,442,0.28627989110517627,378,0.28180252568720365,261,0.27616715699386934
E02000032,159,0.8273305925604088,102,0.3819057932412187,103,0.15529681368069279,445,0.14070213435202794,329,0.10050152453716282
E02000033,378,0.4219933209129586,448,0.34645130667545365,384,0.3125876451207101,415,0.19488034977999416,15,0.18494769002975345
E02000034,281,0.3569875612606188,384,0.32045237656029696,333,0.2959854947879155,62,0.2114182105627968,392,0.20600509921733376
E02000035,439,0.44806522934995024,102,0.35398226482014383,448,0.2989390332874235,71,0.29404424545066404,375,0.2445864817806192
E02000036,357,0.5098771347315663,448,0.2988934927736768,7,0.2467900642452292,378,0.22856561212104698,28,0.21148033489346232
E02000037,448,0.474948253761391,62,0.3418785207778269,415,0.25574136740997977,378,0.21920688635141122,375,0.20093964582212695
E02000038,408,0.6629710563356287,102,0.3094067058478632,448,0.25172070984232936,209,0.24985502244095315,445,0.23074398402213525
E02000039,354,0.5026053719936322,165,0.4649099690941098,384,0.2575852531467365,15,0.2387375516969753,448,0.20104214879745289
E02000040,354,0.5617485180620353,165,0.5492652176606567,147,0.44462316433009563,448,0.2293806448753311,384,0.14355795461585347
E02000041,164,0.514798970552443,448,0.3072540193545212,378,0.22880618462570723,384,0.22226886506497276,205,0.21839956326467275
E02000042,378,0.33231573736086134,448,0.2987107751558304,191,0.2850080909120415,382,0.2676400770846325,61,0.2613719282613516
E02000043,236,0.48065124587118097,149,0.34956454245176793,20,0.218477839032355,70,0.218477839032355,448,0.218477839032355
E02000044,448,0.45497376826267677,15,0.3639790146101414,82,0.23434462593107194,165,0.23434462593107194,378,0.22748688413133838
E02000045,371,0.4924643479638418,445,0.4051921850335407,378,0.3771404183773725,448,0.3771404183773725,384,0.22441413324934564
E02000046,102,0.39946916695630974,151,0.3332131666405941,124,0.31127467555037125,96,0.30645801166114217,448,0.2974899804631492
E02000047,234,0.7530693899588868,257,0.3770406013825689,378,0.19663590464008335,448,0.17928567776007598,53,0.1736847138312033
E02000048,102,0.6421375899675356,21,0.5703414676867036,378,0.20271297615005157,14,0.14967116758641807,62,0.14561909813277535
E02000049,61,0.5575536304351933,102,0.5455511804129041,378,0.24993783433301772,122,0.22731299183871004,40,0.18185039347096804
E02000050,384,0.3597135960925263,378,0.30437304284752226,392,0.2767027662250202,15,0.25456654492701863,389,0.2434984342780178
E02000051,448,0.42563033208011664,122,0.38943492147622594,384,0.3721267027439492,105,0.3202020465471191,422,0.1903904060550438
E02000052,448,0.35476432831172167,384,0.31132379831436796,322,0.2819463084003549,113,0.2316828266525529,378,0.22444273831966063
